diet_id,user_id,meal_type,food_items,calories_intake,meal_date,name,age,gender,email,region_id,region_name
167,167,Breakfast,"Protein Shake, Beef Steak, Spring Rolls, Fried Rice, Aloo Paratha",664,2025-06-04,Angela Jenkins,28,F,imorgan@example.com,503,"Hernandezbury, Niger"
168,168,Breakfast,"Smoothie Bowl, Paneer Butter Masala, Spring Rolls",494,2025-06-08,Rachel Hays,41,F,amanda85@example.com,848,"Brianberg, Uruguay"
169,169,Snack,"Cereal, Milkshake",874,2025-06-09,Sheila Johnston,24,Other,gary37@example.com,606,"Lake Amy, Chile"
170,170,Snack,"Lemon Rice, Green Tea, Sambar Rice, Vada",1161,2025-05-23,John Glenn,69,Other,sfoster@example.com,421,"North Leslie, Aruba"
171,171,Snack,"Caesar Salad, Sushi",539,2025-05-17,Joshua Gentry,56,F,elizabeth89@example.net,537,"Ashleyborough, Somalia"
172,172,Snack,"Dal Tadka, Biryani, Bibimbap",610,2025-05-20,Molly Rodriguez,59,Other,dominicmercado@example.org,418,"Pollardfort, Switzerland"
173,173,Dinner,"Boiled Egg, Tom Yum Soup, Tempura, Pav Bhaji, Muesli",115,2025-05-26,Victoria Sharp,67,Other,callahanjoshua@example.org,938,"Erintown, Panama"
174,174,Snack,"Coffee, Biryani, Poha, Sambar Rice",246,2025-06-03,Logan Roberson,60,Other,matthew56@example.com,292,"Hillville, Bahamas"
175,175,Breakfast,"Muesli, Palak Paneer, Nachos",238,2025-06-14,Thomas Sawyer,21,M,eatonphillip@example.com,327,"West Jacqueline, Antarctica (the territory South of 60 deg S)"
176,176,Lunch,"Grilled Chicken, Spring Rolls, Tom Yum Soup, Butter Naan, Pho",709,2025-05-29,Lynn Green,33,F,kellysantiago@example.org,594,"New Marc, Indonesia"
177,177,Breakfast,"Tempura, Greek Salad, Chicken Wrap, Pad Thai, Pasta Alfredo",570,2025-05-28,Daniel Brennan,40,M,williamcohen@example.org,188,"North Johnny, Guam"
178,178,Lunch,"Porridge, Pasta Alfredo",535,2025-06-02,Douglas Powell,69,Other,robertblair@example.com,399,"South Waynebury, Israel"
179,179,Dinner,"Mutton Rogan Josh, Pav Bhaji, Tandoori Chicken",994,2025-06-14,Aimee Gordon,24,Other,garrisonjeffrey@example.com,207,"Kimton, Macao"
180,180,Breakfast,"Chicken Curry, Pizza, Manchurian, Idli",550,2025-06-03,Edward Evans,42,F,barberjoel@example.com,626,"East Sarahmouth, Palestinian Territory"
181,181,Snack,"Burger, Masala Dosa, Kadhi Pakora",243,2025-05-25,Scott Diaz,47,M,nancyhenderson@example.net,576,"Nancyhaven, Dominica"
182,182,Snack,"Fried Rice, Pasta Alfredo, Burger, Cereal",613,2025-06-08,Stacey Brown,68,Other,bgallegos@example.net,844,"Weaverburgh, Turkmenistan"
183,183,Lunch,"Lassi, Masala Dosa, Ramen",353,2025-06-15,Charles Estes,20,M,brownchristopher@example.com,76,"New Jasonview, Bolivia"
184,184,Dinner,"Quesadilla, Pho, Nachos, Poha, Fruit Salad",564,2025-06-09,Mary Arroyo,29,Other,hunter67@example.org,968,"Smithbury, Chad"
185,185,Lunch,"Vada, Coffee, Pad Thai, Grilled Chicken, Caesar Salad",1178,2025-05-28,Michael Zhang,56,M,jason69@example.net,959,"Sanfordfurt, Iraq"
186,186,Lunch,"French Fries, Lassi",145,2025-05-22,Jonathan Smith,35,M,glennberger@example.org,849,"Port Daniel, Namibia"
187,187,Dinner,"Omelette, Mac and Cheese, Butter Naan, Ramen, Upma",1077,2025-05-30,Mr. Charles Bishop DDS,38,F,jball@example.org,278,"South Miguelview, Mauritania"
188,188,Lunch,"Fruit Salad, Palak Paneer, Paneer Butter Masala, Rajma Chawal, Sushi",1077,2025-05-20,Rebekah Ruiz,49,F,nicole35@example.net,959,"Sanfordfurt, Iraq"
189,189,Lunch,"Tempura, Green Curry, Tacos, Porridge, Green Tea",261,2025-05-20,Christina Porter,54,F,wjohnson@example.net,124,"New Johnville, Kyrgyz Republic"
190,190,Snack,"Tandoori Chicken, Lassi, Fried Rice, Palak Paneer",483,2025-05-30,Linda Mullins,34,F,ngibson@example.com,445,"East Melissamouth, Cook Islands"
191,191,Breakfast,"Yogurt, Lamb Chops, Quesadilla",288,2025-06-11,Juan Bennett,61,M,valdezjames@example.org,367,"North Shannon, Macao"
192,192,Breakfast,"Palak Paneer, Idli, Tom Yum Soup",840,2025-06-07,Sandra Bond,58,F,glenngutierrez@example.net,66,"Brianshire, San Marino"
193,193,Snack,"Dal Tadka, Paneer Butter Masala",182,2025-05-29,Chelsea Garcia,27,F,anita61@example.org,386,"Ericabury, Isle of Man"
194,194,Snack,"Nachos, Milkshake, Cereal, Lassi",578,2025-06-14,James Maddox,42,M,ashley77@example.com,853,"Connerfort, Saint Martin"
195,195,Dinner,"Greek Salad, Green Curry, Milkshake, Tacos, Coffee",664,2025-05-22,Patrick White,55,F,starkemily@example.com,503,"Hernandezbury, Niger"
196,196,Lunch,"Aloo Paratha, Upma, Tandoori Chicken, Pasta Alfredo",376,2025-05-24,Nicholas Park,41,Other,meadowsvickie@example.net,225,"Davisville, Micronesia"
197,197,Breakfast,"Vada, Dal Tadka, Masala Dosa, Hakka Noodles",696,2025-05-25,Tasha Walker,52,M,brianna49@example.org,200,"Jacquelinemouth, France"
198,198,Lunch,"Protein Shake, Scrambled Egg, French Fries",214,2025-06-03,Christopher Woods,49,Other,turnerjustin@example.org,755,"Port Rachaelbury, Oman"
199,199,Breakfast,"Palak Paneer, Beef Steak, Pho",900,2025-06-12,Kimberly Howard,29,F,hahnrebecca@example.net,464,"East Donna, Western Sahara"
200,200,Lunch,"Lemon Rice, Tacos, Chole Bhature, Nachos",878,2025-05-28,Joseph Lester,37,Other,istone@example.com,806,"East Danielmouth, Myanmar"
201,201,Dinner,"Pasta Alfredo, Protein Shake",122,2025-06-10,George Perry,38,F,angelakline@example.org,78,"Ericside, Heard Island and McDonald Islands"
202,202,Lunch,"Bibimbap, Buttermilk, Rajma Chawal",213,2025-06-14,Judy Ortiz,46,Other,jacksonjoseph@example.net,349,"Richardbury, Benin"
203,203,Snack,"Chicken Wrap, Paneer Butter Masala",961,2025-05-31,Dr. Dustin Moran Jr.,40,M,patriciadiaz@example.com,55,"East Amanda, Egypt"
204,204,Snack,"Pad Thai, Greek Salad, Green Tea, Chicken Wrap, Spaghetti Bolognese",782,2025-06-12,Sean Terrell,61,Other,wilsonemily@example.net,498,"West Markville, Lebanon"
205,205,Breakfast,"Spaghetti Bolognese, Paneer Butter Masala, Pasta Alfredo",986,2025-06-12,William King,27,M,robin37@example.com,731,"Kramerton, Bulgaria"
206,206,Lunch,"Spaghetti Bolognese, Paneer Butter Masala, Aloo Paratha, Coffee",1000,2025-05-31,Nicole Hoffman,63,F,moniquemorris@example.com,465,"Meganshire, Saint Helena"
207,207,Lunch,"Tandoori Chicken, Chicken Curry, Chole Bhature, Lemon Rice, Bibimbap",361,2025-05-22,Hannah Moss,26,M,katherine70@example.net,884,"South Bradley, Heard Island and McDonald Islands"
208,208,Breakfast,"Tempura, Green Tea, Fish and Chips",126,2025-05-19,Ashley Gray,26,Other,amandacarter@example.com,831,"South Kimberlystad, Mayotte"
209,209,Lunch,"Nachos, Mac and Cheese, Quesadilla, Chole Bhature",224,2025-05-24,Dustin Martinez,65,Other,rhoward@example.net,540,"Morrisbury, Burundi"
210,210,Dinner,"Dal Tadka, Cereal",300,2025-05-30,Barry Bauer,36,Other,michaelkim@example.net,60,"Port Richard, Liberia"
211,211,Snack,"Biryani, Cereal",746,2025-05-17,Amy Gonzales,56,F,zacharykline@example.org,475,"West Johnville, Monaco"
212,212,Lunch,"Beef Steak, Lassi, Burger",785,2025-05-26,Kelly White DDS,60,F,holderamy@example.org,248,"Lake Kevin, Kenya"
213,213,Lunch,"Green Curry, Biryani, Paneer Butter Masala",938,2025-05-31,Danielle Johnson,49,Other,timothyjames@example.org,984,"North Alexander, Greenland"
214,214,Snack,"Scrambled Egg, Fruit Salad",1140,2025-05-27,Charles House,42,M,hesscheryl@example.org,250,"Ryanbury, Guinea-Bissau"
215,215,Dinner,"Beef Steak, Lassi, French Fries, Chicken Curry",773,2025-06-08,Wendy Jones,42,M,bellerica@example.net,226,"Lake Marilynfort, Kyrgyz Republic"
216,216,Snack,"Fish and Chips, Sushi, Tacos, Rajma Chawal, Yogurt",349,2025-06-03,Joseph Gibson,64,F,perezcrystal@example.org,971,"South Nancyview, Pakistan"
217,217,Lunch,"French Fries, Palak Paneer, Fish and Chips, Vada, Rajma Chawal",993,2025-06-01,Patricia Nolan,38,F,zacharyhuffman@example.org,812,"Lake Kentburgh, Indonesia"
218,218,Lunch,"Pad Thai, Pizza, Ramen, Lassi",522,2025-06-05,Lindsay Morales,61,M,fwebb@example.org,403,"Hortonberg, United States Virgin Islands"
219,219,Lunch,"Coffee, Paneer Butter Masala",101,2025-06-03,Patrick Young,43,Other,mbell@example.com,142,"Ramseymouth, Paraguay"
220,220,Lunch,"Muesli, Quesadilla, Tandoori Chicken, Tempura",457,2025-05-29,Casey Garcia,41,M,molinamargaret@example.com,226,"Lake Marilynfort, Kyrgyz Republic"
221,221,Dinner,"Upma, Nachos, Veg Sandwich, Protein Shake, Chicken Wrap",207,2025-05-21,Julie Nelson,62,F,logan79@example.org,113,"West Justinchester, Iraq"
222,222,Breakfast,"Manchurian, Grilled Chicken",411,2025-06-03,Stephanie Lopez,28,F,yrodgers@example.net,858,"Rosalesshire, Yemen"
223,223,Snack,"Lassi, Mac and Cheese, Caesar Salad, Burrito",283,2025-05-18,Douglas Cannon,48,M,robyn87@example.org,105,"South Rachelborough, Jordan"
224,224,Snack,"Tacos, Palak Paneer",1026,2025-05-18,Gabriella Bennett,53,F,leslie31@example.org,357,"Maldonadoshire, Kyrgyz Republic"
225,225,Snack,"Protein Shake, Pho, Chicken Curry",773,2025-05-27,Gloria Arias,70,Other,eramsey@example.org,620,"Grayside, Bermuda"
226,226,Snack,"Palak Paneer, Pizza, Mac and Cheese, Pav Bhaji",1089,2025-05-23,Gary Smith,18,Other,parkerraymond@example.org,54,"Chandlerville, Bahamas"
227,227,Breakfast,"Protein Shake, Tom Yum Soup, Pizza",238,2025-06-08,Steven Reid,65,F,donnagarcia@example.org,774,"West Lindsayview, Sierra Leone"
228,228,Lunch,"Coffee, Dal Tadka",956,2025-05-21,Andrea Montes,51,F,zachary39@example.net,552,"North Mariahaven, Belarus"
229,229,Lunch,"Masala Dosa, Fish and Chips",583,2025-05-30,William Parker,56,M,kathleenbennett@example.net,418,"Pollardfort, Switzerland"
230,230,Dinner,"Boiled Egg, Chicken Curry, Burger, Pav Bhaji",997,2025-06-06,Yesenia Williams,24,M,walkersteven@example.org,316,"Elizabethstad, Japan"
231,231,Dinner,"Pasta Alfredo, Protein Shake, Caesar Salad, Boiled Egg, Fish and Chips",1172,2025-05-29,Crystal Gray,70,F,odonnellluke@example.org,933,"Kennethville, Monaco"
232,232,Lunch,"Idli, Vada, Lemon Rice",1097,2025-06-10,Adam Sutton,19,F,gilbertortega@example.net,241,"Smithberg, Bolivia"
233,233,Lunch,"Hakka Noodles, Smoothie Bowl",167,2025-05-20,Jake Lane,38,M,rweber@example.net,635,"West Angela, Liechtenstein"
234,234,Lunch,"Lassi, Pho",252,2025-05-22,Richard Phillips,68,M,elizabethking@example.org,266,"Lake Colton, Saudi Arabia"
235,235,Lunch,"Butter Naan, Pav Bhaji, Rajma Chawal, Chicken Wrap, Pizza",641,2025-05-25,James Parsons,37,Other,christinaparker@example.com,705,"Jeffreyport, Antigua and Barbuda"
236,236,Snack,"Nachos, Scrambled Egg, Chicken Wrap, Ramen, Idli",901,2025-05-27,David Huffman,37,Other,jonathan58@example.org,972,"New Virginiaville, Sierra Leone"
237,237,Lunch,"Mutton Rogan Josh, Aloo Paratha, Paneer Butter Masala",158,2025-06-02,Richard Brooks,21,F,thompsonlisa@example.org,726,"Port Kimland, Greece"
238,238,Dinner,"Chole Bhature, Poha, Spaghetti Bolognese, Manchurian",319,2025-05-22,Andre Petersen,32,F,jeffreygibson@example.org,831,"South Kimberlystad, Mayotte"
239,239,Lunch,"Manchurian, Nachos, Spaghetti Bolognese, Fruit Salad, Lamb Chops",1049,2025-06-02,Nicole Nichols,31,F,smithstephanie@example.org,347,"South Andrewmouth, French Guiana"
240,240,Breakfast,"Muesli, Beef Steak, Chicken Wrap, Chicken Curry, Milkshake",109,2025-06-07,Brian Vega,56,M,cheyennecrawford@example.org,755,"Port Rachaelbury, Oman"
241,241,Dinner,"French Fries, Coffee, Pasta Alfredo",277,2025-06-05,Karen Wood,67,M,janetdavis@example.net,658,"Kellyfort, Indonesia"
242,242,Dinner,"Protein Shake, Butter Naan, Manchurian",319,2025-06-10,Sandra Richardson,30,M,brownandrew@example.net,1,"North Judithbury, Northern Mariana Islands"
243,243,Snack,"Burger, Green Curry, Burrito",271,2025-05-19,Kristine Gillespie,44,Other,eadams@example.net,653,"South Daniel, Nepal"
244,244,Snack,"Biryani, Spring Rolls",726,2025-06-06,Kim Parks,59,F,stewartjohn@example.com,347,"South Andrewmouth, French Guiana"
245,245,Breakfast,"Fruit Salad, Chole Bhature, Palak Paneer, Burger, Tom Yum Soup",427,2025-06-07,Sarah Johnson,22,M,wernertara@example.com,568,"Patelbury, Kyrgyz Republic"
246,246,Breakfast,"Milkshake, Green Tea, Quesadilla, Bibimbap, Sambar Rice",418,2025-06-10,Patrick Bryant,20,F,robertsherman@example.net,268,"Jessicaland, Mozambique"
247,247,Snack,"Smoothie Bowl, Veg Sandwich",357,2025-05-21,Holly Gilbert,32,Other,xferguson@example.com,914,"New Laceyland, Swaziland"
248,248,Lunch,"Burger, Buttermilk, Tacos, Lassi",719,2025-05-19,Louis Wilkerson,26,F,amy84@example.net,243,"Cindyfurt, Estonia"
249,249,Lunch,"French Fries, Smoothie Bowl",123,2025-06-08,Craig Elliott,37,F,fitzgeraldjacob@example.net,532,"West Justinside, French Southern Territories"
250,250,Breakfast,"Nachos, Poha, Tom Yum Soup, Hakka Noodles, Paneer Butter Masala",1049,2025-06-05,Robin Strickland,46,M,ffletcher@example.com,630,"Patrickberg, Iceland"
251,251,Lunch,"Dal Tadka, Boiled Egg, Beef Steak",645,2025-05-21,Kenneth Green,47,Other,kathrynramirez@example.com,290,"Port Michael, Zambia"
252,252,Lunch,"Manchurian, Mutton Rogan Josh",297,2025-06-12,David Brown,56,Other,duane60@example.org,815,"North Alexander, Spain"
253,253,Lunch,"Chicken Wrap, Pasta Alfredo, Dal Tadka",443,2025-06-07,Lisa Stanley,65,M,francisco29@example.org,532,"West Justinside, French Southern Territories"
254,254,Lunch,"Chicken Wrap, Spaghetti Bolognese, Yogurt, Fruit Salad",865,2025-06-04,Karen Neal PhD,36,M,kennedymark@example.net,720,"East Dustin, Reunion"
255,255,Breakfast,"Spring Rolls, Beef Steak, Burger, Dal Tadka",1082,2025-06-08,Jeremy Lewis,52,Other,sandra51@example.net,908,"Larryfort, Guadeloupe"
256,256,Breakfast,"Yogurt, Omelette, Veg Sandwich, Dal Tadka, Ramen",790,2025-06-04,Linda Hamilton,33,Other,josephthompson@example.com,585,"Grantberg, Isle of Man"
257,257,Breakfast,"Butter Naan, French Fries, Tacos",235,2025-05-27,Deborah Guzman,43,Other,jeremy12@example.com,25,"Coxberg, Ukraine"
258,258,Snack,"Lassi, Green Tea, Muesli, Coffee",739,2025-05-18,Teresa Thomas,45,Other,silvachristian@example.org,611,"Hopkinstown, Bahamas"
259,259,Dinner,"Milkshake, Sambar Rice, Poha, Pizza, Mutton Rogan Josh",444,2025-05-27,Nichole Wright,35,Other,ebrooks@example.org,166,"Melissaland, Ethiopia"
260,260,Snack,"Chole Bhature, Aloo Paratha",136,2025-06-04,Eileen Powell,29,F,patrickstevens@example.net,249,"West Lauraport, Antarctica (the territory South of 60 deg S)"
261,261,Dinner,"Smoothie Bowl, Biryani",690,2025-05-22,Nancy Mercer,18,F,xskinner@example.net,78,"Ericside, Heard Island and McDonald Islands"
262,262,Snack,"Buttermilk, Muesli, Masala Dosa, Grilled Chicken, Sambar Rice",447,2025-05-22,John Mclaughlin,25,M,icarter@example.net,450,"East Laurabury, Czech Republic"
263,263,Lunch,"Chole Bhature, French Fries",490,2025-05-20,Jonathan Stone,37,Other,patricia78@example.net,125,"Port Steven, Korea"
264,264,Snack,"Grilled Chicken, Kadhi Pakora",539,2025-05-31,Katherine Chaney,22,F,cookchad@example.net,692,"Port Emily, Niger"
265,265,Lunch,"Chicken Curry, Scrambled Egg, Pasta Alfredo",832,2025-06-14,Anthony Leonard,41,Other,parkerjames@example.org,261,"Baileyport, Montserrat"
266,266,Dinner,"Greek Salad, Cereal",1111,2025-06-07,Thomas Brown,29,Other,jessicachen@example.com,825,"West Joshua, United States of America"
267,267,Snack,"Chole Bhature, Nachos, Grilled Chicken, Paneer Butter Masala",955,2025-05-17,Brian Wilson,48,F,scott21@example.org,520,"Derrickshire, Venezuela"
268,268,Dinner,"Smoothie Bowl, Green Curry, Manchurian, Kadhi Pakora",578,2025-05-28,Nathan Mclaughlin,21,F,karaadams@example.org,279,"Carsonstad, Myanmar"
269,269,Lunch,"Tandoori Chicken, Greek Salad, Lemon Rice",1078,2025-06-06,Benjamin Crawford,18,M,rodriguezelizabeth@example.com,966,"Ryanberg, Nepal"
270,270,Breakfast,"Aloo Paratha, Fruit Salad, Chole Bhature",664,2025-05-19,Jennifer Salazar,18,M,kristinaphillips@example.org,572,"South Carlaton, Nepal"
271,271,Breakfast,"Yogurt, Lemon Rice, Scrambled Egg",715,2025-06-09,Diane Taylor,35,F,hendersonheather@example.com,611,"Hopkinstown, Bahamas"
272,272,Lunch,"Masala Dosa, Burrito, Spring Rolls, Ramen, Mac and Cheese",1052,2025-05-24,Sheryl Graham,28,Other,richard59@example.org,361,"Williamport, Azerbaijan"
273,273,Lunch,"Buttermilk, Pho, Fish and Chips",171,2025-05-30,Cathy Wolf,36,F,vgill@example.org,252,"North Chelsea, Chile"
274,274,Lunch,"Smoothie Bowl, Ramen, Green Curry, Tandoori Chicken, Caesar Salad",1045,2025-06-09,Jaime Wiley,35,M,yesenia68@example.org,461,"Meghanview, Maldives"
275,275,Lunch,"Veg Sandwich, Milkshake",680,2025-06-12,Scott Savage,44,Other,amandajackson@example.com,397,"Davisbury, Switzerland"
276,276,Lunch,"Spaghetti Bolognese, Mac and Cheese, Green Tea, Kadhi Pakora, Hot Dog",1155,2025-05-19,Karen Baker,34,Other,jeremiah75@example.com,897,"Hawkinsside, Benin"
277,277,Breakfast,"Tandoori Chicken, Smoothie Bowl, Green Tea",530,2025-06-10,Nicole Bowers,47,M,christina19@example.org,553,"East Mark, Cook Islands"
278,278,Snack,"Paneer Butter Masala, Milkshake, Fish and Chips, Burger, Cereal",457,2025-06-12,Cynthia Riley,32,M,savannahhall@example.com,426,"Paulfurt, Jordan"
279,279,Lunch,"Vada, Bibimbap",748,2025-06-11,Ryan Castillo,58,F,uball@example.org,96,"West Erik, Spain"
280,280,Snack,"Aloo Paratha, Paneer Butter Masala, Sushi",1008,2025-06-09,Dawn Bentley,27,M,michael50@example.com,752,"East Angelaport, Falkland Islands (Malvinas)"
281,281,Dinner,"Paneer Butter Masala, Fried Rice",342,2025-05-28,Donald Robinson,47,M,lanejoshua@example.net,269,"Markchester, United States of America"
282,282,Breakfast,"Burrito, Fish and Chips, Protein Shake",1055,2025-05-26,Brenda Wilson,68,M,hwebb@example.net,725,"Shawnfort, Puerto Rico"
283,283,Dinner,"Burrito, French Fries, Tempura, Smoothie Bowl",486,2025-05-18,Emily Brewer,23,F,daniellerobbins@example.net,309,"Claudiashire, Brunei Darussalam"
284,284,Breakfast,"Tacos, Lemon Rice, Hakka Noodles, Ramen",372,2025-05-28,Alexis Brewer,20,F,marysimmons@example.com,472,"Catherinemouth, Costa Rica"
285,285,Dinner,"Chole Bhature, Veg Sandwich, Grilled Chicken",569,2025-05-26,Jeremy Barrett,21,F,annsantiago@example.net,738,"South Diana, Gambia"
286,286,Dinner,"Tempura, Milkshake, Pasta Alfredo, Green Curry, Bibimbap",451,2025-05-21,Jennifer Deleon,31,M,rbarajas@example.org,783,"Johnmouth, Czech Republic"
287,287,Dinner,"Aloo Paratha, Porridge, Chole Bhature, Hakka Noodles",682,2025-06-14,Danielle Reid,42,Other,careymanuel@example.org,967,"Howardborough, Guam"
288,288,Snack,"Scrambled Egg, Tom Yum Soup, Fruit Salad, Protein Shake",838,2025-06-12,John King,64,F,quinncindy@example.net,160,"Stanleyland, Guatemala"
289,289,Snack,"Kadhi Pakora, Porridge, Rajma Chawal",577,2025-06-10,Matthew Doyle,21,M,ladams@example.net,574,"East Williamport, Cuba"
290,290,Snack,"Poha, Greek Salad, Grilled Chicken",866,2025-05-25,Frank Ryan,36,Other,stokesdestiny@example.org,868,"Garciafort, Guernsey"
291,291,Dinner,"Porridge, Manchurian",206,2025-05-20,Adam Patterson,21,M,michelleclayton@example.org,430,"Manuelland, Mayotte"
292,292,Lunch,"Lemon Rice, Vada",736,2025-05-29,James Lewis,44,Other,laurenmata@example.net,793,"East Ambertown, Ireland"
293,293,Lunch,"Green Tea, Veg Sandwich",814,2025-05-19,Lisa Reyes,53,F,swansonkayla@example.net,206,"Hollyview, Portugal"
294,294,Snack,"Lassi, Boiled Egg, French Fries, Yogurt",254,2025-05-27,Jessica Montes,48,F,ohodges@example.net,837,"East Dianeview, Cayman Islands"
295,295,Dinner,"Milkshake, Pizza, Porridge, Masala Dosa, Idli",236,2025-06-04,Michelle Spencer,31,M,campossean@example.org,257,"Landryshire, Barbados"
296,296,Lunch,"Veg Sandwich, Tom Yum Soup, Upma",450,2025-05-26,Dawn Nguyen,24,Other,dorothy94@example.org,529,"East Robertburgh, Saint Vincent and the Grenadines"
297,297,Dinner,"Spaghetti Bolognese, Upma, Pasta Alfredo, Fruit Salad",284,2025-05-27,Mrs. Nancy Davis,58,M,thomasdavis@example.net,306,"Boonechester, Bahamas"
298,298,Snack,"Sushi, Mac and Cheese, Vada",991,2025-05-26,Elizabeth Cook,46,Other,jacobwilliams@example.org,758,"Davidshire, Guyana"
299,299,Breakfast,"Paneer Butter Masala, Spaghetti Bolognese",114,2025-06-10,Katherine Patrick,53,F,robertsondebra@example.org,350,"Warrenfurt, Jordan"
300,300,Breakfast,"Sushi, Biryani",743,2025-05-18,Carlos Murphy,54,M,christinecain@example.net,616,"Lisaview, Niger"
301,301,Dinner,"Paneer Butter Masala, Pasta Alfredo",650,2025-06-10,Marie Williams,46,M,tarawolfe@example.net,894,"East Brad, Sri Lanka"
302,302,Breakfast,"Butter Naan, Sambar Rice, Mutton Rogan Josh",917,2025-06-04,Lisa Braun,66,Other,josephjackson@example.org,831,"South Kimberlystad, Mayotte"
303,303,Snack,"Dal Tadka, Pav Bhaji",1020,2025-06-02,Jennifer Lewis,67,F,johnsonheather@example.net,780,"East Brandonstad, Aruba"
304,304,Breakfast,"Pav Bhaji, Burrito, Nachos, Butter Naan",113,2025-06-06,Robert Williams,32,F,ferrellrobert@example.org,854,"Grantside, Pakistan"
305,305,Snack,"Buttermilk, Masala Dosa, Paneer Butter Masala, Omelette",808,2025-05-17,Dana Moore,23,Other,lauraortiz@example.net,331,"Lake Alyssafurt, Antarctica (the territory South of 60 deg S)"
306,306,Breakfast,"Tom Yum Soup, Mutton Rogan Josh, Smoothie Bowl, Scrambled Egg, Manchurian",415,2025-06-11,Billy Armstrong,20,M,sgarcia@example.com,624,"Nelsonland, Croatia"
307,307,Snack,"Ramen, Porridge, Bibimbap, Greek Salad",952,2025-05-25,Carol Garza,51,M,bauerelizabeth@example.com,299,"Laurenville, Bulgaria"
308,308,Breakfast,"Nachos, Paneer Butter Masala, Muesli",667,2025-05-28,Nancy Jordan,39,Other,davisdavid@example.org,780,"East Brandonstad, Aruba"
309,309,Dinner,"Butter Naan, Protein Shake",788,2025-06-01,Karen Roman,61,F,fryandrew@example.org,937,"Port Meredithfurt, United Arab Emirates"
310,310,Dinner,"Poha, Lassi, Mutton Rogan Josh, Muesli",898,2025-06-13,Becky Powell,70,F,carlos82@example.org,695,"East Nathanielberg, Gambia"
311,311,Breakfast,"Green Curry, Grilled Chicken, Buttermilk, French Fries, Chicken Curry",643,2025-05-23,Michelle Anderson,27,M,oclark@example.com,779,"East Joycetown, Uganda"
312,312,Lunch,"Caesar Salad, Smoothie Bowl",1023,2025-06-01,Cynthia Hicks MD,18,Other,andrewdavis@example.org,700,"Port Michaeltown, Korea"
313,313,Snack,"Burrito, Mutton Rogan Josh, Green Curry, Poha, Tom Yum Soup",953,2025-06-15,Billy West,28,Other,wesleyortiz@example.net,478,"Port Mark, Egypt"
314,314,Dinner,"Cereal, Milkshake, Tandoori Chicken",433,2025-05-23,Richard Barnes DVM,48,M,williamscharles@example.com,582,"Port Amanda, Honduras"
315,315,Breakfast,"Bibimbap, Pho, Paneer Butter Masala",177,2025-06-05,Kathleen Moore,57,F,paulgardner@example.org,153,"New Staciemouth, Paraguay"
316,316,Lunch,"Aloo Paratha, Ramen, Burger, Smoothie Bowl, Dal Tadka",786,2025-05-21,Brittany Wallace,39,F,kathryn59@example.org,942,"Knoxstad, Cyprus"
317,317,Breakfast,"Fruit Salad, Kadhi Pakora, Hot Dog",1165,2025-06-03,Jonathan Dunn,58,M,nicholasroman@example.org,337,"West Russellport, Saudi Arabia"
318,318,Breakfast,"Buttermilk, Nachos, Cereal, Mac and Cheese",555,2025-05-30,Sean Leblanc,42,M,larrylittle@example.com,163,"Zimmermanchester, North Macedonia"
319,319,Dinner,"Tempura, Biryani",249,2025-06-02,Matthew Webb,31,F,johnsonkelli@example.org,128,"Lake Michelle, Kiribati"
320,320,Snack,"Pad Thai, Quesadilla",395,2025-05-17,Ashley James,40,F,christopher92@example.net,249,"West Lauraport, Antarctica (the territory South of 60 deg S)"
321,321,Breakfast,"Fried Rice, Sambar Rice, Idli, Bibimbap",971,2025-05-23,Gavin Reed,40,Other,javier39@example.com,4,"East William, Bermuda"
322,322,Snack,"Sambar Rice, Mutton Rogan Josh, Upma, Smoothie Bowl, Quesadilla",556,2025-06-13,Michael Cherry,34,F,jlewis@example.com,639,"South Jennifer, Ethiopia"
323,323,Snack,"Dal Tadka, Bibimbap, Cereal, Protein Shake, Poha",765,2025-05-22,Keith Moore,30,M,michael86@example.com,605,"Lake Laura, Kuwait"
324,324,Snack,"Chole Bhature, Pho, Lemon Rice, Smoothie Bowl",220,2025-05-26,Lawrence Hill,52,M,jpruitt@example.com,552,"North Mariahaven, Belarus"
325,325,Dinner,"Protein Shake, Kadhi Pakora, Veg Sandwich, Chicken Curry",697,2025-06-15,Jose Leonard,30,Other,torresrobert@example.com,575,"Barbaramouth, Djibouti"
326,326,Snack,"Manchurian, Omelette, Pho, Muesli, Hot Dog",185,2025-05-24,Timothy Flores MD,38,Other,ojackson@example.net,703,"Burnsland, Israel"
327,327,Dinner,"Green Tea, Nachos, Tempura, Bibimbap",316,2025-06-03,Antonio Moyer,56,F,james67@example.com,213,"Waltersfort, Myanmar"
328,328,Snack,"Manchurian, Chole Bhature, Masala Dosa, Hot Dog",738,2025-05-29,Jackson Ross,32,M,adam32@example.net,210,"Port Emilyview, Namibia"
329,329,Lunch,"Chicken Curry, Tom Yum Soup, Tempura, Tandoori Chicken, Smoothie Bowl",1011,2025-05-17,Kenneth Castro,50,M,johnsonmaria@example.com,176,"Transtad, Heard Island and McDonald Islands"
330,330,Breakfast,"Upma, Buttermilk",530,2025-06-05,Martha Davis,20,F,sherispencer@example.net,64,"Mooreport, Panama"
331,331,Breakfast,"Lassi, Chicken Wrap, Cereal, Vada, Quesadilla",1148,2025-06-01,Jodi Leon,45,M,rweeks@example.net,393,"Brettfort, Tunisia"
